Evobot Gen01 - Sensor Stream, Time Commenced:04-Nov-2014 12:41:16
time,current,Voltage,IR_L,IR_C,IR_R,IMU_disp_X,IMU_disp_Y,Yaw,Opt_flow_X,Opt_flow_Y,Opt_flow_YAW,Encoder_X,Encoder_Y,Motor_L,Motor_R,
37706,176.856,4.059,403,641,287,1.3,15.5,-165.3,34,345.2,123.8,0.6,7.3,0,0,
37847,222.286,4.001,393,546,284,0,0,-165.3,0,0,0,0,0,100,100,
37876,372.287,4.025,391,549,284,1.4,0.6,-165.3,0,0,0,4.9,21.3,100,100,
37908,314.968,4.043,463,521,286,1.6,1.6,-165.7,0,0,0,0.1,2.4,100,100,
37919,273.765,4.064,462,623,284,1.6,1.6,-165.7,0,0,0,0,0,100,100,
37948,274.29,4.034,-1,624,283,2.1,2.1,-165.9,0.3,3.9,-4.1,0.1,2.4,100,100,
37980,260.8,4.067,602,556,287,6.4,8.1,-166,-0.3,6.3,2.5,0.1,2.4,100,100,
38015,254.416,4.076,486,515,284,6.4,6.4,-166,-0.2,6.2,2.4,0.1,2.4,100,100,
38046,260.142,4.06,486,539,285,5.4,5.4,-166,-0.2,7,3.4,0.1,2.4,100,100,
38078,257.624,4.034,557,507,281,8.1,4.3,-166.1,-0.3,6.1,2.4,0,0,100,100,
38109,268.695,4.055,-1,509,284,7.6,3.6,-166.1,-0.1,6.1,2.4,0.1,2.4,100,100,
39010,168.961,4.07,-1,519,285,9,7,-166.1,-0.5,11.5,4.7,0.6,7.3,0,0,
39921,156.211,4.087,-1,500,284,0,0,-166.1,0,0,0,0,0,0,0,
40000,216.08,4.019,-1,508,282,0,0,-166.1,0,0,0,0,0,100,100,
40031,377.186,4.046,-1,511,282,0.8,0.6,-166.1,-0.1,2.3,1.5,0,0,100,100,
40066,294.855,4.067,-1,501,285,1.4,1.4,-166.1,-0.2,5.6,2.7,0.1,2.4,100,100,
40098,269.903,4.066,-1,500,284,4.9,8.1,-166.1,-0.2,7.2,3.2,0.1,2.4,100,100,
40130,259.754,4.037,-1,500,282,3.8,3.8,-166.2,-0.2,6.5,3.3,0.1,2.4,100,100,
40162,244.722,4.059,-1,483,286,3.9,3.9,-166.2,-0.2,6.4,3.1,0.1,2.4,100,100,
40197,241.422,4.055,-1,490,283,5.2,4,-166.2,-0.2,6.5,2.9,0.1,2.4,100,100,
40228,239.752,4.06,-1,478,285,6.7,4.6,-166.1,-0.2,7.2,3.4,0.1,2.4,100,100,
40260,247.078,4.076,-1,463,281,6.2,2.8,-166.2,-0.2,6.4,2.9,0,0,100,100,
40291,255.138,4.067,-1,457,284,3.7,3.7,-166.3,-0.2,6.3,2.8,0.1,2.4,100,100,
40327,239.68,4.061,-1,475,284,3.4,3.4,-166.3,-0.3,6.7,3.5,0.1,2.4,100,100,
40358,236.263,4.052,-1,461,284,4.5,4.5,-166.4,-0.3,7.6,3.7,0.1,2.4,100,100,
