Evobot Gen01 - Sensor Stream, Time Commenced:05-Apr-2015 14:38:41
time,current,Voltage,IR_L,IR_C,IR_R,IMU_disp_X,IMU_disp_Y,Yaw,Opt_flow_X,Opt_flow_Y,Opt_flow_YAW,Encoder_X,Encoder_Y,Motor_L,Motor_R,
492208,178.589,4.052,273,574,492,0,0,108.7,0,0,0,3528,1488,0,0,
492301,172.873,4.062,288,582,568,0,0,108.7,0,0,0,3528,1488,0,0,
492398,170.597,4.05,286,584,568,0,0,108.7,0,0,0,3528,1488,0,0,
492489,172.344,4.044,288,584,569,0,0,108.7,0,0,0,3528,1488,0,0,
492580,171.642,4.056,285,596,570,0,0,108.7,0,0,0,3528,1488,0,0,
492678,168.064,4.04,285,551,568,0,0,108.7,0,0,0,3528,1488,0,0,
492771,171.033,4.051,283,582,567,0,0,108.7,0,0,0,3528,1488,0,0,
492867,174.165,4.054,287,584,569,0,0,108.7,0,0,0,3528,1488,0,0,
492958,167.69,4.055,287,583,566,0,0,108.7,0,0,0,3528,1488,0,0,
493051,166.525,4.058,288,583,580,0,0,108.7,0,0,0,3528,1488,0,0,
493148,175.751,4.048,285,574,566,0,0,108.7,0,0,0,3528,1488,0,0,
494940,171.36,4.039,287,596,569,0,0,108.7,0,0,0,3528,1488,0,0,
495036,168.187,4.043,285,584,569,0,0,108.7,0,0,0,3528,1488,0,0,
495132,172.485,4.025,285,581,569,0,0,108.7,0,0,0,3528,1488,0,0,
495231,169.76,4.064,287,581,455,0,0,108.7,0,0,0,3528,1488,0,0,
495327,214.512,4.057,284,567,454,0,0.1,108.7,0,0,0,3546,1507,33,33,
495430,220.968,4.066,284,582,537,0.8,2.3,108.7,-1.1,5.5,21.6,3602,1563,37,35,
495523,213.906,4.055,288,571,561,2.7,2.7,108.4,-1.3,5.9,23.3,3655,1614,32,33,
495623,225.703,4.058,285,532,578,2.8,2.8,108.6,-0.9,5.6,20.7,3706,1669,32,33,
495723,215,4.06,288,554,580,2.8,2.8,108.6,-1.1,5.4,21.2,3758,1724,32,31,
495823,224.023,4.043,288,562,579,2.8,2.8,108.6,-1,5.3,20.8,3809,1774,32,31,
495916,219.863,4.054,286,550,591,2.5,2.5,108.6,-0.8,4.8,18.7,3857,1822,32,31,
496012,222.254,4.033,285,539,590,2.7,2.7,108.6,-1,5.2,20.4,3906,1872,32,31,
496109,216.333,4.05,277,538,590,2.6,2.6,108.6,-0.8,4.9,19.1,3956,1923,32,31,
496204,216.225,4.054,287,523,591,2.7,2.7,108.6,-1.1,5.6,22.1,4004,1971,32,31,
496302,216.215,4.051,285,550,568,2.7,2.7,108.6,-0.9,5.1,19.9,4055,2024,32,31,
