Evobot Gen01 - Sensor Stream, Time Commenced:26-Feb-2015 16:13:18
time,current,Voltage,IR_L,IR_C,IR_R,IMU_disp_X,IMU_disp_Y,Yaw,Opt_flow_X,Opt_flow_Y,Opt_flow_YAW,Encoder_X,Encoder_Y,Motor_L,Motor_R,
52235,156.706,3.774,607,-1,621,0,0,-126.3,0,0,0,0,0,0,0,
52327,152.815,3.78,628,640,599,0,0,-126.3,0,0,0,0,0,0,0,
52403,162.881,3.766,573,-1,-1,0,0,-126.3,0,0,0,0,0,0,0,
52414,157.326,3.775,572,694,688,0,0,-126.3,0,0,0,0,0,0,0,
52504,159.035,3.775,592,-1,570,0,0,-126.3,0,0,0,0,0,0,0,
52596,158.069,3.775,594,-1,-1,0,0,-126.3,0,0,0,0,0,0,0,
52694,153.889,3.759,582,-1,672,0,0,-126.3,0,0,0,0,0,0,0,
52786,162.244,3.773,619,-1,-1,0,0,-126.3,0,0,0,0,0,0,0,
52876,159.256,3.776,594,-1,-1,0,0,-126.3,0,0,0,0,0,0,0,
52974,157.135,3.771,574,-1,-1,0,0,-126.3,0,0,0,0,0,0,0,
53064,163.501,3.779,601,-1,-1,0,0,-126.3,0,0,0,0,0,0,0,
53156,155.738,3.777,595,592,625,0,0,-126.3,0,0,0,0,0,0,0,
53254,160.022,3.758,-1,658,630,0,0,-126.3,0,0,0,0,0,0,0,
53346,162.6,3.754,619,-1,622,0,0,-126.3,0,0,0,0,0,0,0,
53436,158.277,3.774,619,675,-1,0,0,-126.3,0,0,0,0,0,0,0,
53534,160.927,3.775,595,-1,706,0,0,-126.3,0,0,0,0,0,0,0,
53625,157.498,3.759,583,-1,561,0,0,-126.3,0,0,0,0,0,0,0,
53720,156.355,3.776,581,620,-1,0,0,-126.3,0,0,0,0,0,0,0,
53815,160.555,3.774,-1,-1,-1,0,0,-126.3,0,0,0,0,0,0,0,
53914,157.331,3.779,573,678,-1,0,0,-126.3,0,0,0,0,0,0,0,
54005,160.322,3.765,596,630,-1,0,0,-126.3,0,0,0,0,0,0,0,
54100,159.655,3.774,593,-1,-1,0,0,-126.3,0,0,0,0,0,0,0,
54193,156.227,3.756,572,-1,-1,0,0,-126.3,0,0,0,0,0,0,0,
54285,156.588,3.776,589,-1,-1,0,0,-126.3,0,0,0,0,0,0,0,
54380,162.239,3.774,594,-1,-1,0,0,-126.3,0,0,0,0,0,0,0,
54475,156.408,3.775,703,-1,-1,0,0,-126.3,0,0,0,0,0,0,0,
54565,158.017,3.75,597,-1,-1,0,0,-126.3,0,0,0,0,0,0,0,
54661,161.115,3.774,618,-1,-1,0,0,-126.3,0,0,0,0,0,0,0,
54753,152.23,3.771,584,-1,-1,0,0,-126.3,0,0,0,0,0,0,0,
54845,160.899,3.776,642,658,-1,0,0,-126.3,0,0,0,0,0,0,0,
54940,160.506,3.773,606,-1,-1,0,0,-126.3,0,0,0,0,0,0,0,
55035,157.79,3.754,593,660,-1,0,0,-126.3,0,0,0,0,0,0,0,
55134,165.79,3.775,596,-1,-1,0,0,-126.3,0,0,0,0,0,0,0,
55226,153.129,3.768,592,-1,-1,0,0,-126.3,0,0,0,0,0,0,0,
55324,377.533,3.737,595,673,-1,2.3,1.7,-126.2,0,3.2,-0.4,53,53,98,98,
55425,235.868,3.759,593,-1,-1,22,16.5,-126.2,1.8,17.5,-11.5,213,212,66,65,
55524,256.973,3.762,583,651,-1,13.9,13.9,-126.3,1,12,-7,320,320,52,52,
55622,279.093,3.691,620,-1,-1,12.5,12.5,-126.2,0.6,9.6,-5.3,407,409,66,64,
55716,282.615,3.701,620,-1,-1,13.1,13.1,-126.1,1,12.6,-7.4,505,508,68,65,
55815,270.612,3.765,592,642,-1,13.7,13.7,-126.2,1.1,12.6,-7.8,612,615,65,63,
55915,281.499,3.741,641,-1,-1,16.8,13.5,-126.2,1,12.3,-7.4,718,719,65,63,
56014,269.025,3.766,573,-1,639,16.6,13.7,-126.3,1,11.3,-6.8,822,822,65,63,
56114,269.904,3.759,583,-1,672,13.7,13.7,-126.4,0.9,11.7,-7,930,929,63,62,
56214,264.349,3.739,-1,643,-1,13.4,13.4,-126.5,0.9,11.5,-7,1037,1034,62,61,
56314,269.908,3.748,575,659,641,13.7,13.7,-126.5,0.8,11.4,-6.8,1142,1139,62,62,
56412,269.547,3.694,618,678,-1,12.6,12.6,-126.5,0.9,11.3,-6.3,1245,1241,63,62,
56506,272.13,3.765,596,-1,639,13.5,13.5,-126.5,1.1,12.7,-7.6,1343,1338,63,63,
56605,276.807,3.728,643,651,-1,13.7,13.7,-126.6,1,12.1,-7,1445,1442,63,63,
56703,273.417,3.732,607,-1,-1,13.5,13.5,-126.5,0.8,11.2,-6.3,1546,1546,65,63,
56802,281.318,3.716,609,-1,-1,12.6,12.6,-126.5,0.9,11.7,-7,1648,1649,66,63,
56895,273.581,3.766,573,642,-1,12.3,12.3,-126.5,1.1,12.6,-7.6,1745,1746,65,63,
56994,285.843,3.751,589,-1,-1,12.3,12.3,-126.5,1,11.3,-6.5,1849,1848,67,64,
57093,271.074,3.708,643,654,707,12.6,12.6,-126.7,1,11.6,-7.2,1956,1953,65,64,
57185,279.522,3.739,596,-1,654,12.9,11.4,-126.7,0.9,11.4,-7,2054,2051,64,63,
57284,268.332,3.724,584,-1,563,12.3,12.3,-126.7,1,11.6,-6.5,2160,2156,63,63,
57384,275.794,3.762,573,673,614,12.5,12.5,-126.8,1.1,12.4,-7.6,2266,2262,62,62,
57483,267.633,3.77,-1,-1,625,13.9,12.6,-126.8,0.9,11.6,-7,2370,2366,62,62,
57576,273.734,3.766,570,-1,644,11.9,11.9,-126.6,0.9,11.5,-6.5,2467,2465,63,62,
57673,274.137,3.757,584,-1,657,12.7,12.7,-126.7,0.9,11.2,-7,2568,2566,64,62,
57766,274.339,3.707,582,-1,-1,12,12,-126.6,0.9,11.4,-7,2665,2664,64,63,
57864,282.238,3.747,574,-1,-1,12.2,12.2,-126.6,1,11.8,-6.5,2766,2765,65,63,
57961,279.667,3.706,-1,-1,-1,13.6,12,-126.6,0.8,11.3,-6.5,2866,2868,66,63,
58054,285.146,3.711,579,-1,-1,13,13,-126.6,1.1,12.8,-7.6,2965,2965,66,64,
58152,271.83,3.682,542,-1,-1,12.1,12.1,-126.7,0.9,11.7,-7.2,3070,3068,63,63,
58245,272.184,3.732,573,-1,-1,14.4,12.6,-126.8,1,12.9,-7.8,3170,3167,63,64,
58338,268.981,3.755,607,-1,609,11.6,11.6,-126.9,0.9,11.4,-7,3269,3265,63,63,
58434,270.791,3.754,582,602,-1,12.5,12.5,-126.8,1,12,-7,3370,3366,62,63,
58533,269.125,3.76,605,-1,624,13.2,13.2,-126.9,0.9,11.4,-6.8,3474,3469,62,63,
58626,269.249,3.766,596,-1,-1,11.9,11.9,-126.9,0.9,11.3,-7,3571,3566,62,63,
58725,272.442,3.769,574,-1,646,12.8,12.8,-126.8,0.9,11.9,-6.5,3671,3669,65,63,
58822,274.869,3.692,607,-1,655,12.1,12.1,-126.8,0.9,11.5,-7.4,3774,3772,65,63,
58915,277.658,3.731,572,-1,673,12.1,12.1,-126.8,0.9,12.9,-7,3871,3870,65,62,
59014,279.411,3.766,-1,-1,-1,12.3,12.3,-126.7,1,12.1,-7.4,3973,3972,67,62,
59111,278.702,3.708,582,-1,657,11.3,11.3,-126.9,0.8,11.3,-6.8,4075,4072,67,63,
59204,275.916,3.71,572,-1,-1,12.9,12.3,-127,1.1,12.9,-8,4174,4170,66,63,
59303,274.154,3.761,574,-1,612,13,13,-127.1,1,11.8,-7.4,4281,4275,63,63,
59396,270.869,3.732,584,-1,-1,11.8,11.8,-127.1,1,11.5,-7.4,4379,4372,64,63,
59495,270.629,3.766,549,675,-1,12.5,12.5,-127.3,0.9,12.3,-7.4,4482,4474,63,64,
59592,270.75,3.693,573,-1,-1,12.4,12.4,-127.2,0.8,11.6,-6.5,4585,4579,63,64,
59686,273.62,3.768,618,674,-1,12.7,11.8,-127.1,0.8,11.5,-6.5,4683,4678,62,62,
59783,275.019,3.75,583,-1,-1,12.3,12.3,-127,0.8,11,-6.3,4782,4779,64,62,
59866,278.142,3.719,586,696,-1,10.5,10.5,-127,0.8,9.8,-6.1,4869,4865,67,61,
59965,274.948,3.746,562,-1,-1,13.7,12.2,-127.2,1,12.1,-7.2,4976,4967,68,60,
60064,279.34,3.711,641,-1,614,14.3,12.8,-127.4,1.1,12.4,-7.4,5081,5068,69,59,
60162,276.71,3.735,582,678,-1,13.6,12.2,-127.7,1,11.2,-7,5185,5166,70,60,
60255,273.82,3.748,582,679,664,12.5,12.5,-128.2,1.2,13,-8.4,5289,5261,70,60,
60354,271.728,3.747,619,-1,624,12.7,12.7,-128.7,1,11.5,-7.2,5400,5362,68,60,
60446,262.747,3.721,582,-1,643,11.8,11.8,-129.2,1.1,11.4,-7.6,5502,5455,66,60,
60543,273.603,3.735,561,-1,-1,12.4,12.4,-129.6,1,11.1,-7,5608,5552,66,59,
60635,266.294,3.681,592,-1,-1,11.1,11.1,-130.2,1.1,11,-7.2,5709,5642,67,59,
60733,271.318,3.753,-1,-1,563,12.5,12.5,-130.7,1,11.3,-7,5817,5739,68,59,
60831,263.106,3.706,618,-1,-1,11.5,11.5,-131,1.1,11.6,-8,5924,5838,69,59,
60924,269.413,3.757,594,-1,634,11.6,11.6,-131.3,1.2,12.5,-8,6024,5932,71,58,
61004,269.494,3.767,572,-1,-1,9.6,9.6,-131.7,0.6,8.8,-5.5,6113,6011,71,57,
61097,273.74,3.722,598,-1,636,12.4,11.3,-132.3,1,11.2,-7.2,6215,6102,71,58,
61196,265.153,3.725,582,-1,-1,12.8,12.2,-132.8,1.2,12.2,-7.8,6325,6202,71,58,
61294,267.655,3.753,571,-1,657,11.4,11.4,-133.5,1.1,12,-7.8,6434,6298,71,57,
61386,261.722,3.746,669,-1,637,11.3,11.3,-134.1,1.1,11.4,-7.2,6539,6390,70,57,
61483,265.114,3.74,572,698,585,11.6,11.6,-134.9,1,11.1,-7.6,6649,6486,67,57,
61575,268.809,3.749,561,-1,-1,11.4,11,-135.5,1,11.1,-7.2,6751,6575,67,58,
61673,264.708,3.698,594,-1,480,12.4,12.3,-136,1,11.3,-7,6858,6672,68,59,
61766,266.79,3.761,-1,-1,598,11.2,11.2,-136.4,1,11.3,-7,6959,6765,69,58,
61864,269.842,3.734,582,659,438,12.3,12.3,-136.8,1.1,11.9,-8,7067,6862,70,59,
61962,268.444,3.706,572,-1,474,11.3,11.3,-137.2,1,11.6,-7.4,7174,6961,71,59,
62147,263.715,3.731,592,-1,482,10.9,11.2,-138,1.1,11.5,-7.4,7378,7148,71,58,
62244,269.637,3.756,606,-1,383,12.6,12.5,-138.6,0.9,11.2,-7.2,7486,7246,69,59,
62336,265.661,3.748,581,-1,378,11.9,12.1,-138.9,1,11.5,-7.4,7588,7341,68,58,
62434,260.172,3.724,586,674,506,12.9,12.9,-139.4,1.1,12.1,-7.6,7696,7440,68,58,
62531,268.12,3.69,583,-1,398,12.3,12.3,-140,1.1,11.4,-7.4,7806,7540,67,57,
62625,256.837,3.766,672,-1,420,13,13.1,-140.6,1.1,12.7,-8.4,7908,7633,65,59,
62724,272.409,3.714,573,-1,388,13.6,13.3,-140.8,1.1,11.9,-7.2,8013,7732,68,59,
62824,264.163,3.678,584,-1,398,13.6,13.6,-141.2,0.9,11.1,-6.5,8121,7831,68,60,
62916,273.484,3.769,558,-1,393,12.9,12.1,-141.5,0.9,11.5,-7,8221,7925,69,61,
63014,266.93,3.704,594,-1,357,12.8,12.8,-141.9,0.9,11.1,-6.8,8328,8025,69,61,
63112,274.172,3.75,574,-1,370,12.9,12.9,-142,1,11.4,-7.2,8433,8126,68,60,
63212,264.576,3.768,594,-1,353,14.4,13.9,-142.3,1,11.7,-7.2,8541,8229,67,60,
63304,271.693,3.703,575,-1,376,13.2,12.9,-142.6,0.8,11.3,-7,8640,8325,67,60,
63403,273.286,3.717,572,-1,384,14.9,14.3,-142.8,0.9,11.6,-7.4,8748,8427,67,60,
63502,269.325,3.718,-1,-1,379,14.8,14.8,-143.1,1,11.7,-7.2,8856,8531,66,59,
63594,267.904,3.768,588,-1,381,13.1,13.1,-143.3,0.9,11.4,-7,8955,8627,65,59,
63693,269.747,3.726,671,-1,388,17.5,15.6,-143.5,0.9,12,-7.4,9061,8727,65,59,
63793,273.432,3.708,573,-1,400,17.1,15,-143.7,0.9,11.2,-6.3,9163,8828,65,60,
63883,277.718,3.756,684,-1,399,16.6,14.2,-143.8,0.9,11.6,-6.5,9257,8920,66,61,
63982,275.247,3.767,594,-1,414,15.6,15.6,-143.8,0.8,11.3,-6.5,9361,9022,66,61,
64077,281.144,3.733,607,695,414,16.7,14.8,-143.9,0.7,11,-6.3,9460,9118,66,61,
64172,279.06,3.701,560,-1,382,15.2,15.2,-144,0.9,11,-5.9,9560,9217,67,63,
64267,278.617,3.725,575,-1,427,14.5,14.5,-144.1,0.9,11.6,-7,9663,9318,65,62,
64363,275.378,3.738,596,-1,438,15.4,15.4,-144.2,0.9,11.3,-7.2,9765,9419,63,62,
64463,276.573,3.751,571,-1,458,16.1,16.1,-144.1,0.8,11.5,-6.3,9870,9525,63,61,
64555,275.417,3.753,594,-1,438,15.4,15.4,-144.1,0.9,11.1,-6.5,9967,9621,63,61,
64654,269.596,3.756,583,-1,462,16.1,16.1,-144.2,1,12.1,-7,10070,9725,62,61,
64746,277.177,3.765,605,-1,460,14.7,14.7,-144.2,0.7,11.2,-6.5,10165,9820,62,61,
64843,270.244,3.737,593,-1,458,15.6,15.6,-144.2,0.8,11.5,-6.3,10263,9921,62,62,
64942,288.172,3.73,584,656,433,18.1,15.7,-144.2,0.7,11,-5.9,10363,10021,63,64,
65036,279.332,3.767,578,-1,403,17.4,14.7,-144,0.8,11.3,-6.3,10458,10120,64,66,
65116,279.184,3.744,595,-1,427,12.9,12.9,-143.9,0.6,9.5,-5.3,10542,10205,64,66,
65212,281.336,3.672,561,678,421,19,15.5,-143.8,0.9,11.3,-6.5,10643,10309,63,65,
65312,274.76,3.766,594,-1,405,21.5,17.4,-143.6,0.8,11.5,-6.8,10746,10415,63,65,
65412,278.073,3.709,-1,675,370,26.8,18.8,-143.5,0.9,11.7,-6.5,10851,10522,62,65,
65506,267.68,3.765,572,-1,393,27.1,17.9,-143.4,0.9,11.6,-7,10949,10623,61,65,
65605,271.515,3.743,593,-1,379,29.4,20.7,-143.2,0.8,12.1,-6.5,11052,10732,61,64,
65704,266.014,3.743,584,-1,378,21.6,21.6,-143,0.8,11.3,-6.3,11153,10838,61,64,
65802,272.448,3.766,572,-1,370,33.1,22.6,-142.8,0.8,11.2,-6.3,11252,10942,62,65,
65903,268.005,3.763,595,676,439,25.5,20.4,-142.6,0.8,11.6,-6.5,11355,11050,62,65,
65993,273.324,3.76,593,-1,365,32.5,20.3,-142.4,0.8,11.7,-6.5,11448,11146,62,65,
66087,269.889,3.766,572,671,413,26,20.5,-142.3,0.7,10.9,-5.9,11543,11245,62,65,
66184,275.723,3.759,594,-1,373,28,21.4,-142.1,0.7,10.8,-5.9,11642,11347,63,68,
66283,264.634,3.765,590,-1,506,21.4,21.4,-142,0.8,11.7,-6.5,11746,11454,63,68,
66380,262.438,3.72,585,-1,439,20.2,20.2,-141.8,0.8,11.4,-6.5,11848,11560,61,65,
66473,261.902,3.71,597,-1,465,21.1,21.1,-141.6,0.9,12.7,-7,11944,11660,61,66,
66567,259.956,3.752,572,-1,409,20.5,20.5,-141.4,0.8,11.4,-6.3,12042,11761,61,65,
