Evobot Gen01 - Sensor Stream, Time Commenced:01-Mar-2015 12:52:13
time,current,Voltage,IR_L,IR_C,IR_R,IMU_disp_X,IMU_disp_Y,Yaw,Opt_flow_X,Opt_flow_Y,Opt_flow_YAW,Encoder_X,Encoder_Y,Motor_L,Motor_R,
134371,147.66,3.761,640,-1,-1,0,0,-63.4,0,0,0,0,0,0,0,
134470,153.422,3.772,654,-1,661,0,0,-63.4,0,0,0,0,0,0,0,
134521,159.237,3.764,594,-1,586,0,0,-63.4,0,0,0,0,0,0,0,
134552,161.785,3.737,606,-1,670,0,0,-63.4,0,0,0,0,0,0,0,
134649,156.51,3.757,642,-1,689,0,0,-63.4,0,0,0,0,0,0,0,
134740,160.898,3.769,641,-1,-1,0,0,-63.4,0,0,0,0,0,0,0,
134835,155.387,3.776,606,-1,576,0,0,-63.4,0,0,0,0,0,0,0,
134927,156.887,3.772,642,-1,598,0,0,-63.4,0,0,0,0,0,0,0,
135019,162.769,3.757,619,-1,576,0,0,-63.4,0,0,0,0,0,0,0,
135109,154.551,3.752,683,-1,675,0,0,-63.4,0,0,0,0,0,0,0,
135201,156.865,3.774,583,-1,564,0,0,-63.4,0,0,0,0,0,0,0,
135299,157.576,3.761,573,644,574,0,0,-63.4,0,0,0,0,0,0,0,
135390,157.374,3.757,644,-1,673,0,0,-63.4,0,0,0,0,0,0,0,
135487,161.402,3.746,602,-1,-1,0,0,-63.4,0,0,0,0,0,0,0,
135579,157.867,3.776,655,-1,566,0,0,-63.4,0,0,0,0,0,0,0,
135671,157.499,3.762,583,-1,-1,0,0,-63.4,0,0,0,0,0,0,0,
135768,156.313,3.774,618,602,565,0,0,-63.4,0,0,0,0,0,0,0,
135860,159.897,3.758,591,-1,563,0,0,-63.4,0,0,0,0,0,0,0,
136048,157.693,3.769,619,-1,575,0,0,-63.4,0,0,0,0,0,0,0,
136139,161.041,3.771,668,-1,688,0,0,-63.4,0,0,0,0,0,0,0,
136231,153.956,3.777,560,-1,706,0,0,-63.4,0,0,0,0,0,0,0,
136328,161.354,3.766,573,659,705,0,0,-63.4,0,0,0,0,0,0,0,
136421,158.251,3.768,605,-1,573,0,0,-63.4,0,0,0,0,0,0,0,
136519,278.06,3.734,602,-1,672,0,0,-63.4,0,0,0,5,7,60,60,
136618,319.851,3.704,606,-1,573,10.5,8.3,-63.7,-0.3,7,1.4,124,125,100,100,
136711,224.177,3.768,608,695,585,18.2,14.3,-63.7,1.9,17.8,-10.2,276,278,53,53,
136809,263.566,3.724,655,644,626,13.4,9.7,-63.8,0.7,10.1,-6.1,370,372,57,57,
136908,274.835,3.695,655,-1,642,15.1,9.5,-63.9,0.6,10.1,-5.7,462,464,67,67,
137008,266.731,3.725,605,677,638,10.2,10.2,-64,0.9,12.1,-7.4,573,571,62,66,
137099,251.342,3.758,702,-1,670,13.3,10,-64.2,0.9,11.8,-7,671,668,60,65,
137192,263.173,3.758,628,656,-1,9.8,9.8,-64.2,0.8,11.1,-6.5,767,765,60,65,
137289,258.735,3.748,607,-1,577,10.1,10.1,-64.1,0.9,12,-7,868,867,61,65,
137369,253.652,3.726,642,-1,-1,8,8,-64.1,0.5,8.8,-5.1,952,952,61,64,
137468,253.616,3.779,608,-1,-1,13.6,10.6,-64,0.9,11.7,-7,1057,1058,61,64,
137548,251.688,3.726,628,-1,624,7.7,7.7,-63.9,0.6,9,-5.5,1140,1143,61,63,
137648,253.947,3.686,643,-1,674,9.4,9.4,-63.9,0.8,11.4,-6.5,1244,1248,62,63,
137749,254.75,3.727,619,-1,-1,11.5,9.1,-63.9,0.9,11.5,-6.3,1347,1353,63,63,
137848,252.239,3.767,655,676,-1,15.4,10.4,-63.9,1,11.5,-7.2,1451,1456,64,63,
137940,250.321,3.713,608,-1,-1,11.4,8.7,-64,0.8,11.2,-6.8,1549,1552,62,63,
138038,255.427,3.766,594,-1,631,13.1,8.6,-64,0.9,11,-6.8,1650,1653,63,64,
138118,253.485,3.719,668,-1,-1,7.1,7.1,-64.2,0.6,9,-5.5,1736,1738,63,66,
138218,243.053,3.757,640,-1,-1,8.6,8.6,-64.1,0.9,11.7,-7,1843,1845,62,64,
138310,243.521,3.745,625,-1,-1,7.9,7.9,-64.2,0.9,11.5,-7,1941,1942,61,64,
138410,235.644,3.763,605,-1,-1,8.8,8.8,-64.1,1,12.2,-6.8,2045,2048,61,63,
138508,243.325,3.722,629,620,-1,8.8,8.8,-64.1,0.8,11.3,-6.5,2148,2152,61,63,
138608,234.482,3.716,593,-1,-1,9,9,-64.1,1,11.6,-7,2252,2257,61,63,
138708,245.102,3.725,-1,675,-1,8.7,8.7,-64,0.9,11.6,-6.5,2355,2362,62,63,
138807,233.521,3.712,653,-1,-1,12.4,9.7,-63.9,0.9,11.3,-6.8,2457,2466,64,63,
138906,246.45,3.709,-1,675,-1,9.2,9.2,-63.9,1,11.7,-7,2562,2571,64,63,
139000,238.963,3.713,629,-1,-1,14.3,10,-64,1.1,12.7,-8.2,2661,2668,64,63,
139099,267.817,3.763,701,661,586,20.1,12.1,-61.9,14.2,17.5,-2.9,2751,2777,63,64,
139199,306.369,3.709,626,-1,320,25.3,24.2,-34.8,25,11.8,33.8,2815,2886,95,57,
139299,265.106,3.712,592,-1,288,20.2,13.6,-21.1,2.7,4.4,1.6,2964,2965,84,68,
139397,223.416,3.733,594,667,287,31.3,24.6,-22.1,1.3,13.4,-8.6,3084,3084,57,71,
139490,225.188,3.717,621,-1,284,25.2,25.2,-21.6,0.8,12.8,-7.2,3179,3184,56,62,
139589,232.381,3.737,582,-1,313,26,26,-21.4,0.8,11.6,-6.5,3278,3286,60,64,
139687,234.777,3.763,599,-1,422,26.7,26.7,-21.4,0.8,11.1,-6.8,3379,3389,62,65,
139781,235.821,3.764,630,-1,-1,24.8,24.8,-21.4,0.9,11.5,-7.2,3478,3489,62,64,
139879,234.165,3.7,618,-1,543,27.1,27.1,-21.3,1,12,-7.4,3579,3592,63,64,
139978,233.604,3.744,625,-1,-1,27.5,27.5,-21.2,0.8,11.4,-6.8,3683,3698,63,63,
140071,233.998,3.743,698,-1,585,44.2,25.4,-21.2,0.9,11.2,-7,3779,3794,68,56,
140169,238.379,3.732,595,673,-1,26,26,-22,1.3,11.7,-8,3891,3884,75,53,
140268,236.188,3.765,640,-1,-1,26,26,-23.7,1.4,11.4,-8.6,4014,3969,76,52,
140362,234.13,3.759,595,-1,600,24.9,24.9,-25.4,1.7,11.5,-8.8,4134,4050,75,52,
140460,232.972,3.761,629,-1,553,25.6,25.6,-27.3,1.7,11.9,-9.2,4257,4135,74,51,
140558,229.445,3.763,593,-1,388,26.7,26.7,-29.3,1.8,12.1,-9,4380,4218,74,51,
140652,239.423,3.761,618,-1,365,24.2,24.2,-30.9,1.5,11.2,-8.8,4496,4298,75,52,
140749,234.771,3.755,606,-1,328,35.6,25.5,-32.7,1.5,12.1,-9.2,4615,4383,75,51,
140850,239.019,3.741,606,-1,316,25.4,25.4,-34.4,1.5,12.3,-9.2,4740,4469,77,50,
140948,233.48,3.75,611,-1,313,24.7,24.7,-36.1,1.8,12.2,-9,4862,4555,77,50,
141048,236.368,3.724,573,-1,306,25.4,25.4,-37.8,1.4,11.7,-8.8,4986,4642,77,48,
141145,229.485,3.681,606,-1,300,23.3,23.3,-39.7,1.4,11.5,-8.6,5109,4725,74,50,
141239,230.63,3.737,594,-1,323,34.7,24.1,-41.6,1.7,12.6,-9.2,5225,4805,73,50,
141340,226.042,3.746,594,-1,342,24.9,24.9,-43.3,1.6,12.3,-8.6,5349,4893,72,51,
141439,231.945,3.735,605,-1,337,24.3,24.3,-44.8,1.2,11.1,-7.8,5468,4982,71,51,
141539,234.455,3.731,617,-1,-1,24.6,24.6,-46.3,1.4,11.9,-8.4,5584,5070,71,52,
141638,243.185,3.756,627,-1,-1,24.5,24.5,-47.6,1.5,12,-8,5699,5158,73,54,
141737,240.237,3.725,673,-1,-1,24.4,24.4,-48.8,1.2,11.3,-7.6,5814,5248,73,55,
141830,243.984,3.717,641,-1,-1,30.3,21.9,-49.8,1.2,11.4,-7.8,5923,5335,72,55,
141929,238.424,3.746,-1,-1,703,22.6,22.6,-50.7,1.2,12.1,-7.8,6035,5429,73,56,
142027,241.275,3.744,627,702,625,22.9,22.9,-51.8,1.1,11.5,-7.8,6151,5522,72,56,
142107,240.593,3.729,-1,673,-1,26.6,18.3,-52.7,0.8,9.2,-6.1,6244,5601,70,57,
142207,233.273,3.712,654,-1,622,23.5,23.5,-53.5,1.2,11.5,-7.8,6358,5701,69,55,
142305,237.292,3.668,670,658,-1,22.2,22.2,-54.3,1.1,11.7,-7.6,6470,5797,67,56,
142398,233.152,3.727,671,-1,-1,31.9,22,-54.9,1.3,12.9,-8.4,6574,5889,67,56,
142497,243.351,3.74,-1,-1,564,22.8,22.8,-55.5,1,11.4,-7.6,6684,5986,67,56,
142597,238.753,3.709,-1,-1,609,30.8,23.2,-56,1.1,11.5,-7.2,6793,6085,67,58,
142697,243.093,3.696,-1,-1,587,28.9,21.9,-56.5,1.1,11.5,-7.6,6902,6185,67,58,
142789,234.531,3.712,686,-1,-1,19.3,19.3,-56.9,1,11.3,-7.6,7002,6279,67,58,
142887,241.746,3.735,706,-1,506,21.3,21.3,-57.4,0.9,11.2,-7,7109,6377,67,59,
142981,235.612,3.704,619,676,624,20.5,20.5,-57.9,1,11.6,-7.2,7214,6472,66,59,
143079,233.187,3.734,686,-1,600,20.5,20.5,-58.4,1,11.4,-7.4,7320,6571,66,59,
143175,234.857,3.652,619,624,584,25.4,18.2,-58.8,1,11.7,-7.4,7427,6669,65,60,
