Evobot Gen01 - Mouse Stream, Time Commenced:20-Apr-2014 18:52:41

Time	dx	dy	
18:52:41:183	0	0	
18:52:41:283	0	0	
18:52:41:380	0	0	
18:52:41:481	0	0	
18:52:41:582	0	0	
18:52:41:681	0	0	
18:52:41:784	0	0	
18:52:41:881	0	0	
18:52:41:981	0	0	
18:52:42:081	0	0	
18:52:42:181	0	0	
18:52:42:281	0	0	
18:52:42:381	0	0	
18:52:42:481	0	0	
18:52:42:581	0	0	
18:52:42:681	0	0	
18:52:42:781	0	0	
18:52:42:881	0	0	
18:52:42:981	0	0	
18:52:43:081	0	0	
18:52:43:181	0.0026596	0	
18:52:43:281	0	0	
18:52:43:381	-0.023936	-0.018617	
18:52:43:481	-0.14096	-0.10904	
18:52:43:581	-0.15957	-0.029255	
18:52:43:681	0.96011	0.67819	
18:52:43:781	0.63564	1.0213	
18:52:43:881	0.029255	0.12766	
18:52:43:981	0.21543	0.10904	
18:52:44:081	0.31915	0.19947	
18:52:44:181	-0.1383	-0.13032	
18:52:44:281	-0.34309	-0.050532	
18:52:44:381	-0.055851	-0.010638	
18:52:44:481	0.59043	0.56117	
18:52:44:581	0.023936	0.06383	
18:52:44:681	-0.1383	0	
18:52:44:781	0	0	
18:52:44:881	0	0	
18:52:44:981	0	0	
18:52:45:081	0	0	
18:52:45:181	0	0	
18:52:45:281	0	0	
18:52:45:381	0	0	
18:52:45:481	0	0	
18:52:45:581	0	0	
18:52:45:681	0	0	
18:52:45:781	0	0	
18:52:45:882	0	0	
18:52:45:981	0	0	
18:52:46:082	0	0	
18:52:46:181	0	0	
18:52:46:281	0	0	
18:52:46:381	0	0	
18:52:46:481	0	0	
18:52:46:581	0	0	
18:52:46:681	0	0	
18:52:46:781	0	0	
18:52:46:881	0	0	
18:52:46:981	0	0	
18:52:47:081	0	0	
18:52:47:181	0	0	
18:52:47:281	0	0	
18:52:47:382	0	0	
18:52:47:481	0	0	
18:52:47:581	0	0	
18:52:47:681	0	0	
18:52:47:781	0	0	
18:52:47:881	0	0	
18:52:47:981	0	0	
18:52:48:081	0	0	
18:52:48:181	0	0	
18:52:48:282	0	0	
18:52:48:381	-0.0026596	0	
18:52:48:482	-0.74202	-0.037234	
18:52:48:581	-0.0026596	0	
18:52:48:682	-0.21277	0.10372	
18:52:48:781	0.0079787	-0.56383	
18:52:48:881	0.071809	-0.44149	
18:52:48:982	-0.010638	-0.013298	
18:52:49:081	-0.13032	-0.031915	
18:52:49:181	-0.21809	-0.22606	
18:52:49:281	-0.034574	-0.17287	
18:52:49:382	-0.0026596	-0.015957	
18:52:49:481	0.018617	0.023936	
18:52:49:581	0.11702	0.079787	
18:52:49:681	0	0	
18:52:49:781	-0.018617	0.015957	
18:52:49:881	0	0	
18:52:49:981	0	0	
18:52:50:082	0	0	
18:52:50:181	0	0	
18:52:50:281	0	0	
18:52:50:381	0	0	
18:52:50:481	0	0	
18:52:50:581	0	0	
18:52:50:681	0	0	
18:52:50:781	0	0	
18:52:50:881	0	0	
18:52:50:981	0	0	
18:52:51:081	0	0	
18:52:51:181	0	0	
18:52:51:281	0	0	
18:52:51:381	0	0	
18:52:51:481	0	0	
18:52:51:581	0	0	
18:52:51:681	0	0	
18:52:51:782	0	0	
18:52:51:881	0	0	
18:52:51:981	0	0	
18:52:52:081	0	0	
18:52:52:181	0	0	
18:52:52:281	0	0	
18:52:52:382	0	0	
18:52:52:481	0	0	
18:52:52:581	0	0	
18:52:52:681	0	0	
18:52:52:782	0	0	
18:52:52:881	0	0	
18:52:52:981	0	0	
18:52:53:081	0	0	
18:52:53:181	0	0	
18:52:53:281	0	0	
18:52:53:381	0	0	
18:52:53:481	0	0	
18:52:53:581	0	0	
18:52:53:681	0	0	
18:52:53:781	0	0	
18:52:53:881	0	0	
18:52:53:981	0	0	
18:52:54:081	0	0	
18:52:54:181	0	0	
18:52:54:281	0	0	
18:52:54:382	0	0	
18:52:54:481	0	0	
18:52:54:581	0	0	
18:52:54:681	0	0	
18:52:54:782	0	0	
18:52:54:881	0	0	
18:52:54:981	0	0	
18:52:55:081	0	0	
18:52:55:181	0	0	
18:52:55:281	0	0	
18:52:55:381	0	0	
18:52:55:481	0	0	
18:52:55:581	0	0	
18:52:55:681	0	0	
18:52:55:781	0	0	
18:52:55:881	0	0	
18:52:55:981	0	0	
18:52:56:081	0	0	
18:52:56:181	0	0	
18:52:56:281	0	0	
18:52:56:381	0	0	
18:52:56:481	0	0	
18:52:56:581	0	0	
